x,y,z,blade_engaged
0.012557,0.009289,0.056511,1
0.012555,0.009289,0.056513,1
0.012552,0.009287,0.056515,1
0.012412,0.009682,0.056271,1
0.012341,0.009686,0.056290,1
0.012268,0.009690,0.056310,1
0.012109,0.009929,0.056179,1
0.012131,0.009947,0.056158,1
0.012153,0.009964,0.056138,1
0.011841,0.010255,0.056006,1
0.011864,0.010274,0.055984,1
0.011803,0.010511,0.055809,1
0.011649,0.010489,0.055869,1
0.011601,0.010582,0.055807,1
0.011492,0.010627,0.055796,1
0.011407,0.010844,0.055639,1
0.011326,0.010838,0.055663,1
0.011204,0.010955,0.055593,1
0.011220,0.010972,0.055575,1
0.010832,0.011083,0.055572,1
0.010731,0.011189,0.055506,1
0.010712,0.011330,0.055393,1
0.010689,0.011316,0.055410,1
0.010363,0.011745,0.055129,1
0.010254,0.011732,0.055164,1
0.010141,0.011719,0.055200,1
0.010045,0.011708,0.055230,1
0.010074,0.011766,0.055177,1
0.009584,0.012000,0.055097,1
0.009589,0.012010,0.055087,1
0.009377,0.012121,0.055047,1
0.009240,0.012112,0.055084,1
0.009080,0.012233,0.055024,1
0.008827,0.012274,0.055050,1
0.008716,0.012373,0.054998,1
0.008540,0.012452,0.054977,1
0.008445,0.012416,0.055027,1
0.008148,0.012583,0.054967,1
0.008043,0.012711,0.054892,1
0.007881,0.012726,0.054919,1
0.007719,0.012741,0.054945,1
0.007577,0.012788,0.054942,1
0.007436,0.012870,0.054911,1
0.007295,0.012951,0.054880,1
0.007101,0.012916,0.054955,1
0.006756,0.012915,0.055039,1
0.006712,0.012986,0.054992,1
0.006626,0.012996,0.055003,1
0.006464,0.013042,0.055001,1
0.006308,0.013150,0.054947,1
0.006220,0.013148,0.054967,1
0.006073,0.013171,0.054976,1
0.005920,0.013231,0.054953,1
0.005767,0.013292,0.054931,1
0.005633,0.013325,0.054929,1
0.005579,0.013383,0.054888,1
0.005421,0.013347,0.054941,1
0.005270,0.013344,0.054967,1
0.005028,0.013552,0.054823,1
0.004990,0.013517,0.054859,1
0.004952,0.013481,0.054895,1
0.004739,0.013747,0.054683,1
0.004595,0.013728,0.054711,1
0.004451,0.013709,0.054740,1
0.004228,0.013619,0.054841,1
0.004201,0.013663,0.054801,1
0.004126,0.013617,0.054848,1
0.004051,0.013570,0.054896,1
0.003662,0.013710,0.054784,1
0.003653,0.013744,0.054753,1
0.003540,0.013710,0.054786,1
0.003224,0.013796,0.054708,1
0.003218,0.013780,0.054724,1
0.002969,0.013783,0.054725,1
0.002918,0.013837,0.054674,1
0.002833,0.013871,0.054640,1
0.002679,0.013861,0.054643,1
0.002622,0.013805,0.054692,1
0.002386,0.013692,0.054785,1
0.002124,0.013911,0.054563,1
0.002081,0.013927,0.054545,1
0.001830,0.013836,0.054616,1
0.001685,0.013771,0.054666,1
0.001624,0.013826,0.054609,1
0.001360,0.013854,0.054562,1
