x,y,z,blade_engaged
-0.004441,-0.006451,0.059864,1
-0.003953,-0.006591,0.059894,1
-0.003953,-0.006591,0.059894,1
-0.003953,-0.006591,0.059894,1
-0.003920,-0.006629,0.059877,1
-0.003885,-0.006672,0.059859,1
-0.003847,-0.006713,0.059842,1
-0.003811,-0.006755,0.059824,1
-0.003776,-0.006796,0.059806,1
-0.003741,-0.006838,0.059788,1
-0.003706,-0.006879,0.059770,1
-0.003670,-0.006921,0.059752,1
-0.003351,-0.007027,0.059762,1
-0.003303,-0.007015,0.059781,1
-0.003255,-0.007003,0.059800,1
-0.003208,-0.006992,0.059819,1
-0.003161,-0.006980,0.059838,1
-0.003055,-0.006929,0.059896,1
-0.003067,-0.006956,0.059875,1
-0.002997,-0.007038,0.059836,1
-0.002981,-0.007074,0.059816,1
-0.002965,-0.007110,0.059796,1
-0.002628,-0.007182,0.059827,1
-0.002627,-0.007180,0.059828,1
-0.002626,-0.007178,0.059830,1
-0.002625,-0.007176,0.059832,1
-0.002624,-0.007174,0.059833,1
-0.002342,-0.007167,0.059907,1
-0.002311,-0.007207,0.059888,1
-0.002307,-0.007396,0.059762,1
-0.002262,-0.007386,0.059781,1
-0.002217,-0.007375,0.059799,1
-0.002191,-0.007372,0.059807,1
-0.002188,-0.007400,0.059789,1
-0.002185,-0.007427,0.059771,1
-0.002182,-0.007454,0.059753,1
-0.001709,-0.007441,0.059874,1
-0.001694,-0.007479,0.059852,1
-0.001678,-0.007517,0.059831,1
-0.001663,-0.007555,0.059809,1
-0.001648,-0.007611,0.059776,1
-0.001629,-0.007634,0.059765,1
-0.001603,-0.007680,0.059742,1
-0.001463,-0.007656,0.059790,1
-0.001394,-0.007676,0.059793,1
-0.001326,-0.007696,0.059796,1
-0.001257,-0.007717,0.059799,1
-0.001122,-0.007922,0.059696,1
-0.001117,-0.007758,0.059805,1
-0.001046,-0.007778,0.059809,1
-0.000911,-0.007902,0.059763,1
-0.000895,-0.007948,0.059739,1
-0.000879,-0.007993,0.059715,1
-0.000860,-0.008040,0.059690,1
-0.000842,-0.008090,0.059664,1
-0.000823,-0.008143,0.059635,1
-0.000497,-0.008226,0.059657,1
-0.000494,-0.008222,0.059660,1
